Row.names,`11-07-2024`,.dots...`18-07-2024 07:46`,.dots...`11-12-2024 09:00`,.dots...`11-12-2024 09:53`,.dots...`11-12-2024 10:59`,.dots...`11-12-2024 11:27`,.dots...`11-12-2024 12:09`,.dots...`11-12-2024 12:30`
1,"For First Time, NATO Accuses China of Supplying Russia’s Attacks on Ukraine",Trump Rally Shooting,California Wildfire,California Wildfire,Trump Transition,Trump Transition,Trump Transition,"Israel, Seeing an Opportunity, Demolishes Syria’s Military Assets"
NA,NA,The Crossword,"For the Once-Sinful Luna Luna, It’s Safety at the Shed",Suspect in Health Care C.E.O.’s Killing Fights Extradition,The Supreme Court Must Intervene in the TikTok Case,These Nuns Were Excommunicated but Won’t Leave Their Convents,Trump Picks Andrew Ferguson to Lead Federal Trade Commission,U.S. Transfers $20 Billion Loan to Ukraine Backed by Russian Assets
13,"Colombia Beats Uruguay, 1-0, to Secure Spot in Copa América Final",What would persuade President Biden to step aside? Here’s what he has said.,"The New York version of an art carnival has lost the anarchic charge it was born with (though a new act may thrill the kids), our critic writes.",How the Climate Movement Is Changing Tactics After Trump’s Win,Why al-Assad Fell,The Syria Opportunity,Biden Threatens to Veto Bill to Increase Ranks of Federal Judges,58 Jazz Luminaries Assembled for This Photo. Only One Remains.
42,Strands,"In a Bangkok Hotel Room, Six Bodies and Traces of Cyanide",Should Biden Issue Pre-emptive Pardons?,The Syria Opportunity,Biden Threatens to Veto Bill to Increase Ranks of Federal Judges,Netanyahu Finally Takes the Stand in His Corruption Trial,UnitedHealthcare C.E.O.’s Killing,South Korea’s President Is Still in Office. This Man Intends to Push Him Out.
14,"Shortly after the match, a number of Uruguayan players appeared to clash with Colombian fans in the stadium.","Gunman Had Searched for Images of Trump and Biden, F.B.I. Says",Wordle,Police Arrest 3 After Deadly Explosion in the Netherlands,Should Biden Issue Pre-emptive Pardons?,Trump Has a New Favorite Foreign Leader. He’s Known as ‘the Madman.’,Biden Says Trump’s Tax Cuts and Tariffs Would Be ‘a Major Mistake’,Martial Law Fallout Raises Questions South Korea Has Never Dealt With Before
10,"Min Jin Lee, Karl Ove Knausgaard and others share their top 10 books.",U.S. Presidential Race,U.S. Transfers $20 Billion Loan to Ukraine Backed by Russian Assets,Suspect in C.E.O.’s Killing Fights Extradition to New York,Achieving a New American Dream at 11 and 12,My Last Column,Wall Street’s Titans Can’t Wait for Trump 2.0,"A Filmmaker, a Spy and France’s Richest Man Meet in a Paris Court"
15,Gregg Berhalter was fired as the U.S. men’s soccer coach after a disappointing group-stage exit from the Copa América.,"“Our nation is not well”: After Donald Trump’s assassination attempt, voters fear what could happen next.",Connections,"Wildfire Roars Into Malibu, Burning Homes and Forcing Evacuations",You Had a Lot of Questions About the Election,Putin Just Suffered a Huge Defeat,Eric Trump Promises the ‘Most Pro-Crypto President’ in History,Debate Over Pete Hegseth’s Fitness Highlights a Gender Divide in the Senate
38,"Benji Gregory, Child Star on ‘ALF,’ Dies at 46","Behind the Scenes, Biden’s Level of Denial Is Stunning Both Parties","Picking Through a Ruined Palace, in the Name of Vengance",Trump’s Pick for Treasury Secretary Doesn’t Fit His Loyalist Mold,U.S. Transfers $20 Billion Loan to Ukraine Backed by Russian Assets,Suspect in C.E.O.’s Killing Fights Extradition to New York,FIFA Bends Own Rules to Give Saudi Arabia Coveted 2034 World Cup,"Amid Rumors of a Breakup, Kimberly Guilfoyle Is Appointed Ambassador to Greece"
16,England moved on to the Euro 2024 final after defeating the Netherlands with a stunning goal in the final minutes.,Here’s what to know about the investigations into the shooting at the Trump rally.,Strands,$25 Billion Kroger-Albertsons Grocery Merger Is Blocked,The Security Threat Hundreds of Miles Above Our Heads,"Picking Through a Ruined Palace, in the Name of Vengance",Monarch Butterflies Are Recommended for Protected Status,Trump Picks Andrew Ferguson to Lead Federal Trade Commission
17,Bold Experiment or Safety Risk? Canada Is Divided on How to Stop Drug Deaths.,"Vance Honed Populist Views in the Senate, Auditioning for Trump",Spelling Bee,Trump Calls Trudeau the ‘Governor’ of the ‘Great State of Canada’,Suspect in Health Care C.E.O.’s Killing Fights Extradition,"These 14 Voters Think Trump Has One Mandate Above All, and It’s Not About the Economy",These Nuns Were Excommunicated but Won’t Leave Their Convents,Biden Threatens to Veto Bill to Increase Ranks of Federal Judges
